C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:46:59

Vmag< 11&dec >=0&rah >=19.75&rah< 20.0
--------------------------------------

Number of objects : 10261

  #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type       |   ang. size   
-----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------------|---------------
2080 |TYC 4243-982-1                                                        |Star                           |19 51 20.7988678008 +65 55 57.966514032|098.3370825934662 +18.8170073684690| 36.188 -29.851  |10.57    |~                      |    ~     ~    
2081 |TYC 4243-1004-1                                                       |Star                           |19 57 56.9335156512 +65 53 16.413297036|098.5995226276840 +18.1893725594863|  -3.136 -8.371  |10.21    |~                      |    ~     ~    
2082 |TYC 4243-1045-1                                                       |Star                           |19 55 48.3916491696 +65 48 15.256213128|098.4193601084616 +18.3498699612865| -7.600 -23.599  |9.80     |~                      |    ~     ~    
2083 |HD 189977                                                             |Star                           |19 58 02.0602224432 +67 51 39.453576876|100.4768514090379 +19.0425736241025|-18.469 -37.418  |9.39     |G                      |    ~     ~    
2084 |BD+67 1215                                                            |Star                           |19 58 22.1522310552 +68 02 43.811284416|100.6673260668043 +19.0939105762223| -6.921 -16.549  |9.98     |F0                     |    ~     ~    
2085 |TYC 4445-1212-1                                                       |Star                           |19 59 54.2599523712 +68 05 19.948916616|100.7745291248161 +18.9836351892873|    3.747 2.512  |10.17    |~                      |    ~     ~    
2086 |TYC 4445-1518-1                                                       |Star                           |19 58 15.4075374504 +67 49 10.719747336|100.4470291791265 +19.0058028352703|  17.655 16.828  |10.83    |~                      |    ~     ~    
2087 |TYC 4445-1615-1                                                       |Star                           |19 57 58.2670552200 +67 42 55.235608920|100.3352085832852 +18.9850707773719|   0.689 -6.665  |10.52    |~                      |    ~     ~    
2088 |HD 189295                                                             |Star                           |19 54 37.6841548584 +67 30 34.983273888|099.9946516567968 +19.1851294085278|-15.142 -29.082  |7.85     |K0                     |    ~     ~    
2089 |HD 188751                                                             |Star                           |19 52 07.1483825424 +67 04 48.686058408|099.4742730929790 +19.2252670642534|   11.300 9.760  |9.39     |A2                     |    ~     ~    
2090 |HD 187611                                                             |Star                           |19 46 04.3076412600 +67 28 36.960252492|099.6092143713206 +19.9196689648979| -37.688 -3.331  |8.19     |G5                     |    ~     ~    
2091 |HD 187610                                                             |Star                           |19 46 02.1688174536 +67 44 16.787401836|099.8633970241973 +20.0249990789889|  -2.308 39.841  |7.72     |F0                     |    ~     ~    
2092 |BD+67 1203                                                            |Star                           |19 46 58.5373517616 +67 32 34.652718528|099.7099450318660 +19.8662060773876|  -3.750 -4.021  |10.85    |G                      |    ~     ~    
2093 |TYC 4243-571-1                                                        |Star                           |19 46 46.2233607192 +67 28 36.516852768|099.6370876656014 +19.8581168428740|   4.912 -3.256  |10.83    |K                      |    ~     ~    
2094 |BD+67 1204                                                            |Star                           |19 48 03.8996976144 +67 47 08.688521220|099.9905710324328 +19.8674027453886|  27.019 10.378  |9.70     |F5                     |    ~     ~    
2095 |HD 188561                                                             |Star                           |19 51 02.5397553720 +67 34 49.379264436|099.9120445982280 +19.5259437412322|    9.317 1.279  |8.88     |A3                     |    ~     ~    
2096 |HD 189062                                                             |Star                           |19 53 31.7273447808 +67 28 03.906678900|099.9075227824148 +19.2629992554864|  -8.254 -7.713  |8.67     |K2                     |    ~     ~    
2097 |BD+66 1236                                                            |Star                           |19 45 25.5850014024 +67 08 00.967066800|099.2474004614205 +19.8423304616290|   2.669 -8.682  |10.71    |G5                     |    ~     ~    
2098 |BD+66 1238                                                            |High Proper Motion Star        |19 45 42.3022515648 +66 35 18.154343832|098.7264432840178 +19.6024730626794|  69.940 31.139  |10.11    |G0                     |    ~     ~    
2099 |HD 187478                                                             |Spectroscopic Binary           |19 45 34.9493047080 +66 53 50.355943836|099.0228275014198 +19.7355202313108|  -2.355 -9.667  |9.32     |A0                     |    ~     ~    
2100 |HD 187725                                                             |Star                           |19 46 52.8112356504 +66 54 41.522977440|099.0901911281620 +19.6242814420757|  -0.285 -1.268  |9.56     |A0                     |    ~     ~    
2101 |HD 187875                                                             |Star                           |19 47 43.4725333272 +66 34 32.624757192|098.7991238029624 +19.4134518176422|  -0.195 26.660  |9.37     |F8                     |    ~     ~    
2102 |HD 187862                                                             |Star                           |19 47 28.5963229008 +67 17 02.431762692|099.4775852442128 +19.7193424485870|  12.753 25.545  |9.06     |F2                     |    ~     ~    
2103 |BD+66 1246                                                            |Spectroscopic Binary           |19 48 20.9201771376 +66 50 25.393299216|099.0823401070116 +19.4636763711930|  -18.346 4.735  |9.53     |K0                     |    ~     ~    
2104 |HD 188341                                                             |High Proper Motion Star        |19 50 02.3495310384 +67 17 18.107246796|099.5875380592789 +19.4946616929386|  9.643 -68.286  |8.54     |F5                     |    ~     ~    
2105 |HD 187371                                                             |Star                           |19 45 12.1998411312 +66 10 46.016300136|098.3068596351748 +19.4867196856436|   -2.136 5.389  |9.77     |A0                     |    ~     ~    
2106 |HD 187398                                                             |Star                           |19 45 22.4274071424 +66 11 19.130056116|098.3230521583588 +19.4745672532427|  11.643 28.517  |10.23    |A0                     |    ~     ~    
