C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:38:16

dec< 0&rah >=21.25&rah< 21.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3626

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
94  |CD-36 14801                                                           |Star                              |21 26 24.2570254224 -36 18 25.742299536|007.6391098843564 -45.9575572454315|   3.395 -6.028     |9.99     |~              |    ~     ~    |    1| 1052.853   pc  | -19.1770    +19.1770    |paral   |2020yCat.1350....0G
95  |HD 203492                                                             |Star                              |21 23 34.1093039808 -37 43 42.908685276|005.5692028909195 -45.4559465294444| 27.384 -21.088     |7.73     |A1V            |    ~     ~    |    1|  175.553   pc  |  -0.9431     +0.9431    |paral   |2020yCat.1350....0G
96  |HD 203491                                                             |Double or Multiple Star           |21 23 37.5891081456 -37 33 58.810723848|005.8009658885440 -45.4613895139642|    4.162 9.606     |9.447    |K2/3III        |    ~     ~    |    1|  244.852   pc  |  -0.9832     +0.9832    |paral   |2020yCat.1350....0G
97  |HD 203950                                                             |Star                              |21 26 20.4124844328 -38 01 02.236254024|005.1790109442946 -46.0112489281771|    0.580 1.680     |8.79     |K3III          |    ~     ~    |    1|  560.412   pc  |  -7.2234     +7.2234    |paral   |2020yCat.1350....0G
98  |HD 203949                                                             |Horizontal Branch Star            |21 26 22.8744937632 -37 49 45.949824840|005.4497130276121 -46.0146147381480|168.257 -11.075     |5.620    |K2III          |    ~     ~    |    1|   78.861   pc  |  -0.3588     +0.3588    |paral   |2020yCat.1350....0G
99  |HD 204421                                                             |High Proper Motion Star           |21 29 31.0150223424 -38 05 09.285127980|005.0966012357034 -46.6378013178011| 38.412 -37.878     |7.44     |G0V            |    ~     ~    |    1|   80.416   pc  |  -0.4731     +0.4731    |ST-L    |2020AJ....160...83S
100 |HD 204454                                                             |High Proper Motion Star           |21 29 40.2850434648 -38 20 44.670923052|004.7185841582385 -46.6710859244980|  98.914 18.627     |8.16     |F2V            |    ~     ~    |    1|  103.821   pc  |  -0.6769     +0.6769    |ST-L    |2020AJ....160...83S
101 |CD-38 14573                                                           |Star                              |21 29 57.1540737864 -37 34 19.761716208|005.8475347305128 -46.7145123717879|  -5.807 -7.106     |9.29     |~              |    ~     ~    |    1|  947.508   pc  | -17.0577    +17.0577    |paral   |2020yCat.1350....0G
102 |TYC 7485-98-1                                                         |Star                              |21 25 22.6702752960 -37 04 29.567033292|006.5233866984480 -45.7892921463113|  12.400 -5.809     |9.87     |~              |    ~     ~    |    1|  662.427   pc  |  -6.1433     +6.1433    |paral   |2020yCat.1350....0G
103 |TYC 7485-223-1                                                        |Star                              |21 24 38.5169744544 -36 08 50.763409512|007.8383176526410 -45.5935239307357|  7.968 -18.004     |10.088   |~              |    ~     ~    |    1|  332.911   pc  | -15.4100    +15.4100    |ST-L    |2020AJ....160...83S
104 |TYC 7485-804-1                                                        |Star                              |21 22 49.9263280320 -37 29 09.095298864|005.9064267070607 -45.3007782978313|  21.968 -4.904     |10.78    |~              |    ~     ~    |    1|  448.129   pc  |  -4.0365     +4.0365    |paral   |2020yCat.1350....0G
105 |TYC 7485-873-1                                                        |Star                              |21 24 23.4106559784 -37 06 12.438596988|006.4701486995054 -45.5937716062196|   8.660 -9.714     |10.87    |~              |    ~     ~    |    1|  510.517   pc  |  -4.3525     +4.3525    |paral   |2020yCat.1350....0G
106 |TYC 7486-71-1                                                         |Star                              |21 27 47.7927370392 -36 31 44.738142348|007.3398265389213 -46.2485009336290|  26.732 -7.308     |9.98     |~              |    ~     ~    |    1|  322.538   pc  |  -7.6950     +7.6950    |ST-L    |2020AJ....160...83S
107 |TYC 7486-84-1                                                         |Star                              |21 28 08.4689212680 -35 52 18.385456080|008.2946259869874 -46.2834850621587|  28.188 -1.049     |10.803   |~              |    ~     ~    |    1|  301.838   pc  |  -7.5850     +7.5850    |ST-L    |2020AJ....160...83S
108 |TYC 7486-157-1                                                        |Star                              |21 28 12.4180241904 -37 24 40.352317632|006.0683483687316 -46.3641860091566|-16.118 -28.532     |10.546   |~              |    ~     ~    |    1|  211.428   pc  |  -2.5140     +2.5140    |ST-L    |2020AJ....160...83S
109 |TYC 7979-6-1                                                          |Star                              |21 27 07.1697442752 -37 42 13.341931272|005.6365907379370 -46.1570697911576|   3.239 -4.248     |10.59    |~              |    ~     ~    |    1|  474.293   pc  |  -3.5543     +3.5543    |paral   |2020yCat.1350....0G
110 |TYC 7979-126-1                                                        |Star                              |21 23 43.0702844664 -37 38 16.602108396|005.6998991200360 -45.4821755505972| -8.509 -23.237     |10.65    |~              |    ~     ~    |    1|  560.978   pc  |  -6.1366     +6.1366    |paral   |2020yCat.1350....0G
111 |TYC 7979-208-1                                                        |Star                              |21 28 35.7779867568 -37 45 33.557001408|005.5665741097112 -46.4503531694635| -7.284 -11.572     |10.23    |~              |    ~     ~    |    1|  305.055   pc  |  -2.0938     +2.0938    |paral   |2020yCat.1350....0G
112 |HD 203621                                                             |Star                              |21 24 27.5858065560 -37 51 00.552487788|005.4041592580617 -45.6360162137250|   7.125 -6.407     |9.56     |F8V            |    ~     ~    |    1|  187.204   pc  |  -2.0920     +2.0920    |ST-L    |2020AJ....160...83S
113 |HD 202286                                                             |Star                              |21 15 44.3538 -34 13 47.617            |010.2975143 -43.6135203            |  3.789 -23.722     |10.07    |G8/K1(IV)      |    ~     ~    |    0|                |                         |        |                   
114 |HD 202541                                                             |Star                              |21 17 36.7504218576 -34 04 41.384836020|010.5669918866598 -43.9814654933145| -30.188 -0.889     |9.32     |F7V            |    ~     ~    |    1|  104.067   pc  |  -0.2198     +0.2198    |paral   |2020yCat.1350....0G
115 |CD-34 14964                                                           |Star                              |21 18 15.0978174744 -34 09 54.942908976|010.4669486711262 -44.1225785366064| 16.091 -12.506     |10.07    |K2             |    ~     ~    |    1|  543.596   pc  |  -4.8757     +4.8757    |paral   |2020yCat.1350....0G
116 |CD-34 14975                                                           |High Proper Motion Star           |21 18 58.5011384352 -34 27 14.054611428|010.0886775245437 -44.3017915531069|-89.840 -86.913     |10.19    |G5             |    ~     ~    |    1|   90.259   pc  |  -0.5725     +0.5725    |ST-L    |2020AJ....160...83S
117 |HD 202943                                                             |Star                              |21 20 12.6032511000 -34 20 23.837270280|010.2840456702822 -44.5435010210990|    0.610 8.766     |8.45     |F2III/IV       |    ~     ~    |    1|  201.349   pc  |  -0.8554     +0.8554    |paral   |2020yCat.1350....0G
118 |HD 202843                                                             |Star                              |21 19 37.8949851624 -34 32 58.886439756|009.9745936700993 -44.4460943105521|  -3.631 -5.916     |9.03     |K0             |    ~     ~    |    1|  314.228   pc  |  -1.8662     +1.8662    |paral   |2020yCat.1350....0G
119 |HD 202931                                                             |Star                              |21 20 06.5803254912 -34 35 37.271322636|009.9269089852579 -44.5483909275704|  16.671 -5.041     |8.45     |G5             |    ~     ~    |    1|  390.061   pc  |  -4.1232     +4.1232    |paral   |2020yCat.1350....0G
120 |HD 202248                                                             |High Proper Motion Star           |21 15 30.7635574056 -32 19 59.588412852|012.8806271306407 -43.3214545248054|  72.857 -2.578     |9.15     |K0III/IV       |    ~     ~    |    1|   99.701   pc  |  -5.1391     +5.1391    |paral   |2020yCat.1350....0G
121 |HD 202358                                                             |Star                              |21 16 08.8738448544 -31 48 53.645930280|013.6129774451424 -43.3775768261249| 21.145 -14.358     |7.34     |K0III          |    ~     ~    |    1|  221.175   pc  |  -1.4382     +1.4382    |paral   |2020yCat.1350....0G
122 |* eps Mic                                                             |High Proper Motion Star           |21 17 56.2839941 -32 10 21.151520      |013.2019281161 -43.8057629467      |   54.36 -23.29     |4.708    |A0V            |    ~     ~    |    1|   50.7475  pc  |  -1.4092     +1.4092    |paral   |2018yCat.1345....0G
123 |HD 202774                                                             |Star                              |21 19 03.1191079968 -32 21 22.077959364|012.9954766824283 -44.0647103683345|-20.522 -25.484     |6.94     |K3III          |    ~     ~    |    1|  242.254   pc  |  -1.7665     +1.7665    |paral   |2020yCat.1350....0G
124 |HD 202207                                                             |Star                              |21 15 17.0591339856 -33 11 12.306041016|011.7088551306657 -43.3918169556961|  8.061 -14.911     |8.48     |A9/F0V         |    ~     ~    |    1|  375.164   pc  |  -3.6313     +3.6313    |paral   |2020yCat.1350....0G
125 |HD 202226                                                             |Star                              |21 15 23.2248886200 -33 01 11.911256436|011.9402606845625 -43.3910129974830| 14.032 -32.803     |8.89     |F2V            |    ~     ~    |    1|  215.188   pc  |  -1.7828     +1.7828    |paral   |2020yCat.1350....0G
126 |HD 202323                                                             |Star                              |21 16 01.2873230112 -32 43 28.024720824|012.3683821820526 -43.4828560726669| 10.152 -40.445     |8.70     |F3V            |    ~     ~    |    1|  224.856   pc  |  -1.2589     +1.2589    |paral   |2020yCat.1350....0G
127 |CD-33 15485                                                           |Star                              |21 17 01.3264575936 -33 25 19.813126584|011.4506031355184 -43.7820335699038|   -6.394 4.633     |10.104   |G5             |    ~     ~    |    1| 1016.990   pc  | -73.9200    +73.9200    |ST-L    |2020AJ....160...83S
128 |HD 202558                                                             |Star                              |21 17 35.4330293400 -33 21 29.952759024|011.5588713014154 -43.8918368617901|   2.118 -6.088     |9.40     |K2III          |    ~     ~    |    1|  379.535   pc  |  -2.8089     +2.8089    |paral   |2020yCat.1350....0G
129 |HD 202637                                                             |Star                              |21 18 04.2605427240 -32 51 48.363177348|012.2580217528565 -43.9283623702172|  17.606 -5.993     |8.34     |A5III          |    ~     ~    |    1|  141.465   pc  |  -0.6324     +0.6324    |paral   |2020yCat.1350....0G
130 |HD 202714                                                             |Star                              |21 18 44.0030662560 -33 04 05.285676612|012.0007313730985 -44.0925648482666|  -5.823 15.804     |8.53     |G8/K0III/IV    |    ~     ~    |    1|  215.764   pc  |  -1.7458     +1.7458    |paral   |2020yCat.1350....0G
131 |HD 202740                                                             |Star                              |21 18 53.0243065296 -33 02 46.673562588|012.0364621647738 -44.1210445548467| 14.492 -11.938     |9.275    |K2III          |    ~     ~    |    1|  316.700   pc  |  -8.0130     +8.0130    |ST-L    |2020AJ....160...83S
132 |HD 202984                                                             |Star                              |21 20 16.3822808376 -32 30 46.781266788|012.8274190606450 -44.3412449085224| 13.526 -11.362     |7.47     |K4III          |    ~     ~    |    1|  406.984   pc  |  -4.3065     +4.3065    |paral   |2020yCat.1350....0G
133 |HD 203041                                                             |Star                              |21 20 42.1689085200 -32 48 20.929509144|012.4375377624357 -44.4690880235246| 21.028 -19.385     |9.977    |F0V            |    ~     ~    |    1|  370.610   pc  | -10.8000    +10.8000    |ST-L    |2020AJ....160...83S
134 |HD 203130                                                             |High Proper Motion Star           |21 21 18.5972360688 -32 31 56.849610900|012.8408242414475 -44.5604772099339| 54.471 -13.889     |9.22     |G1V            |    ~     ~    |    1|  205.453   pc  |  -0.9877     +0.9877    |paral   |2020yCat.1350....0G
135 |HD 202156                                                             |Star                              |21 15 05.2636014912 -33 31 52.404467160|011.2314729967006 -43.3954975944026|  -2.649 -8.940     |9.54     |K0III          |    ~     ~    |    1|  531.858   pc  |  -5.1766     +5.1766    |paral   |2020yCat.1350....0G
136 |CD-34 14966                                                           |Star                              |21 18 24.2135844912 -33 33 22.883336640|011.3143684471620 -44.0842605222810|  12.049 -8.935     |10.584   |G2             |    ~     ~    |    1|  784.925   pc  | -37.1300    +37.1300    |ST-L    |2020AJ....160...83S
