C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
96  |HD 139036                                                             |Star                           |15 37 13.3871417400 -38 26 52.695210264|335.1984876285301 +13.8235958510906|  -5.612 -4.618     |10.56    |A1III/IV           |    ~     ~          
97  |HD 139048                                                             |Star                           |15 37 21.7690737264 -38 48 53.927010684|334.9917394157577 +13.5152417250365| -4.315 -14.770     |9.12     |F0IV               |    ~     ~          
98  |HD 139143                                                             |Star                           |15 38 00.0659908440 -38 57 09.328445280|335.0073443311079 +13.3304841051226|-26.043 -38.786     |8.26     |K1III              |    ~     ~          
99  |HD 139385                                                             |Star                           |15 39 15.9719217936 -38 54 35.217727416|335.2345586116452 +13.2144741216057|  -7.640 -6.064     |9.65     |A1V                |    ~     ~          
100 |HD 139428                                                             |Star                           |15 39 32.4988561080 -38 34 56.666702820|335.4840789681937 +13.4405429937658|  -6.362 -0.840     |9.66     |K4/5               |    ~     ~          
101 |HD 139543                                                             |Star                           |15 40 10.2697112424 -38 42 33.037039476|335.5039526986176 +13.2650295971605|   4.376 -6.580     |8.28     |G2V                |    ~     ~          
102 |HD 139562                                                             |Double or Multiple Star        |15 40 18.2840368752 -38 46 52.990868712|335.4795136475817 +13.1920465997029|-38.905 -46.294     |9.15     |G3V                |    ~     ~          
103 |HD 139630                                                             |Star                           |15 40 40.8107 -39 04 23.256            |335.3546401 +12.9170078            |  1.622 -18.444     |10.99    |G1/3               |    ~     ~          
104 |HD 139735                                                             |Star                           |15 41 17.7637996152 -39 15 10.488965148|335.3377060626713 +12.7018272579967|  -5.991 -4.721     |10.97    |A7/9               |    ~     ~          
105 |HD 140129                                                             |Star                           |15 43 29.8637275800 -38 57 38.586379032|335.8669302023046 +12.6668573079117|-18.911 -33.920     |9.64     |G3V                |    ~     ~          
106 |HD 140128                                                             |Star                           |15 43 30.3754921320 -38 41 16.181878452|336.0424645458560 +12.8793794591114|  -1.809 -0.849     |10.38    |K0(III)            |    ~     ~          
107 |CD-38 10616                                                           |Star                           |15 43 59.4331508448 -39 09 25.264361700|335.8183782029835 +12.4536901449357| -0.041 -20.105     |10.56    |~                  |    ~     ~          
108 |HD 140331                                                             |Star                           |15 44 30.9715391280 -38 24 09.402397848|336.3834477419268 +12.9788501497889|  -4.163 -4.648     |10.34    |A0V                |    ~     ~          
109 |HD 140219                                                             |Star                           |15 43 57.2592627312 -39 28 56.925222168|335.6052674924910 +12.2034330602785|-18.356 -31.174     |8.79     |F7V                |    ~     ~          
110 |IRAS 15351-3652                                                       |Long-Period Variable Candidate |15 38 25.7441151720 -37 02 31.407674748|336.2782385171097 +14.7925102603172|  -4.656 -6.382     |10.82    |~                  |    ~     ~          
111 |CD-38 10630                                                           |Star                           |15 44 58.87 -38 24 39.6                |336.45090 +12.91523                |            ~ ~     |10.1     |~                  |    ~     ~          
112 |CD-37 10373                                                           |Star                           |15 37 01.9935420504 -37 26 34.202357304|335.7977536750265 +14.6447543081326|  -5.049 -0.587     |10.81    |~                  |    ~     ~          
113 |CD-36 10316                                                           |Star                           |15 39 40.4604982848 -36 35 16.526132988|336.7706208323489 +14.9972849901505|-32.826 -30.731     |10.30    |~                  |    ~     ~          
114 |CD-37 10403                                                           |Star                           |15 39 47.5020310224 -37 36 32.565220308|336.1394376650574 +14.1786727450534| -17.032 -4.056     |10.95    |~                  |    ~     ~          
115 |CD-36 10333                                                           |Star                           |15 41 16.7056897584 -36 53 36.340518696|336.8360814090825 +14.5584258731352|  -4.004 -1.942     |10.88    |~                  |    ~     ~          
116 |CD-37 10425                                                           |Star                           |15 41 26.4702459480 -37 56 05.544918312|336.1965384132017 +13.7211355245612|  -4.710 -5.041     |10.80    |~                  |    ~     ~          
117 |CD-37 10375                                                           |Star                           |15 37 11.2373682048 -37 41 49.181672256|335.6630855901829 +14.4244442995779|  0.495 -10.783     |10.58    |~                  |    ~     ~          
118 |CD-37 10378                                                           |Star                           |15 37 29.5418293584 -37 33 57.828875148|335.7948810380818 +14.4915564579207|   -0.344 1.492     |10.22    |~                  |    ~     ~          
119 |TYC 7836-1065-1                                                       |Star                           |15 37 49.9238537208 -38 32 27.759778692|335.2377336575457 +13.6772870521387|  -6.080 -0.745     |10.74    |~                  |    ~     ~          
120 |CD-37 10382                                                           |Star                           |15 38 08.0315913720 -37 34 08.857955424|335.8969585081576 +14.4115720081802|  -0.141 -2.233     |10.75    |~                  |    ~     ~          
121 |CD-36 10313                                                           |Star                           |15 38 43.6410731880 -37 21 20.247121548|336.1280832580729 +14.5083485607084| -22.943 -3.916     |10.25    |~                  |    ~     ~          
122 |CD-37 10392                                                           |Star                           |15 38 54.1243063896 -38 08 46.875824556|335.6567741484710 +13.8620845714051| -13.012 -6.756     |10.53    |~                  |    ~     ~          
123 |CD-38 10551                                                           |Star                           |15 39 36.7545095472 -38 53 30.119900064|335.3006795293253 +13.1875574775322|  -2.945 -7.953     |10.49    |~                  |    ~     ~          
124 |CD-37 10405                                                           |Star                           |15 40 08.5839995280 -38 18 51.851845620|335.7488443112994 +13.5798886859642| -5.731 -11.477     |10.65    |~                  |    ~     ~          
125 |CD-37 10417                                                           |Star                           |15 41 01.2825900720 -37 41 04.366712112|336.2889448209749 +13.9691044942477|  -29.158 9.583     |10.98    |~                  |    ~     ~          
126 |CD-37 10422                                                           |Star                           |15 41 18.9651936672 -37 35 52.034172720|336.3915030761468 +14.0011511301435|  -5.638 -0.530     |10.69    |~                  |    ~     ~          
127 |TYC 7339-938-1                                                        |Star                           |15 41 42.1857701208 -37 07 58.414372680|336.7511271906142 +14.3180895317410|  -6.933 -0.694     |10.86    |~                  |    ~     ~          
128 |CD-38 10586                                                           |Star                           |15 41 48.6807900456 -38 38 58.257190176|335.8006455784861 +13.1147533307135|  -0.291 -0.938     |10.49    |~                  |    ~     ~          
129 |CD-38 10589                                                           |Star                           |15 42 05.1300515856 -38 25 10.735671972|335.9900463956632 +13.2620893815373|  -0.051 -2.959     |10.58    |~                  |    ~     ~          
130 |CD-37 10435                                                           |Star                           |15 42 08.4676647600 -37 32 40.758559440|336.5575913527378 +13.9413871294480|   -7.568 1.505     |10.48    |~                  |    ~     ~          
