C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
4199|HD 140147                                                             |Double or Multiple Star        |15 44 11.0298840264 -49 13 12.728629416|329.5722236255346 +04.5058027156886|      -7.5 -6.5     |8.98     |A1V                |    ~     ~          
4200|HD 329939                                                             |Star                           |15 44 32.4878667864 -48 53 48.559359624|329.8171437456215 +04.7258255817264|  -3.612 -4.870     |10.69    |B8                 |    ~     ~          
4201|HD 329910                                                             |Star                           |15 44 49.1252355192 -48 45 46.774603116|329.9356068123157 +04.8036463905727|  -1.451 12.624     |10.06    |K0                 |    ~     ~          
4202|HD 137818                                                             |Star                           |15 30 07.6890122040 -49 35 40.807437396|327.4989392979018 +05.5553657490807|   -5.192 0.659     |8.98     |K2/3               |    ~     ~          
4203|HD 137835                                                             |Star                           |15 30 12.6705264336 -49 33 51.580792080|327.5274463244672 +05.5725899501653|  -2.219 -4.095     |9.32     |B2Vn               |    ~     ~          
4204|CD-49 9672                                                            |Star                           |15 30 38.1178606608 -49 38 50.092722996|327.5364587614985 +05.4652743703608|  -5.490 -4.475     |10.55    |B8/A0              |    ~     ~          
4205|CD-49 9675                                                            |Star                           |15 30 51.5170126320 -49 30 14.133491316|327.6487321433558 +05.5620363420326|  -3.940 -5.420     |10.60    |B8/A0              |    ~     ~          
4206|HD 137959                                                             |Pulsating Variable             |15 31 04.5695296704 -49 30 18.075305520|327.6771733044986 +05.5408896529817|  -2.036 -1.784     |8.97     |B9Ib/II            |    ~     ~          
4207|HD 137995                                                             |Star                           |15 31 16.8719305944 -49 45 31.004252280|327.5583001986874 +05.3141596261014|  -4.002 -4.392     |9.87     |A0III              |    ~     ~          
4208|CD-49 9692                                                            |Star                           |15 31 20.1337209576 -49 43 05.553915420|327.5888214673877 +05.3421957754950|  -1.871 -4.764     |9.50     |~                  |    ~     ~          
4209|CD-49 9713                                                            |Star                           |15 32 29.1385458912 -49 30 46.252208736|327.8605850473833 +05.4027634922930|  -3.148 -5.593     |10.52    |B8/A0              |    ~     ~          
4210|CD-49 9727                                                            |Star                           |15 32 59.9892286992 -49 34 44.848871364|327.8904096167918 +05.3004543559271| -8.848 -13.173     |9.96     |K5                 |    ~     ~          
4211|CD-49 9742                                                            |Star                           |15 33 33.5243500560 -49 33 40.114845936|327.9750165474853 +05.2625451814860|-13.336 -14.562     |10.28    |~                  |    ~     ~          
4212|CD-49 9749                                                            |Star                           |15 33 52.8984791472 -50 04 18.125138640|327.7197437112160 +04.8167628877088|  -6.297 -8.209     |10.18    |~                  |    ~     ~          
4213|CD-49 9751                                                            |Star                           |15 33 55.8191177725 -49 45 13.847973937|327.9116801540619 +05.0707847801278| -20.621 -22.54     |10.73    |F8                 |    ~     ~          
4214|CD-49 9759                                                            |Star                           |15 34 24.8666161632 -49 43 01.312668840|327.9970427203322 +05.0551499143928|  -3.461 -4.610     |10.96    |B8/A0              |    ~     ~          
4215|CD-49 9766                                                            |Star                           |15 34 45.4140316944 -50 09 23.712328404|327.7845567470006 +04.6660234260651| -12.476 -9.402     |10.42    |K0                 |    ~     ~          
4216|HD 138567                                                             |Star                           |15 35 04.0439661096 -50 07 06.445286328|327.8474210416738 +04.6678978479817|  -2.055 -5.407     |9.98     |A1IV               |    ~     ~          
4217|CD-49 9771                                                            |Star                           |15 35 07.2865640688 -49 45 27.828269712|328.0662488065093 +04.9553886778808| -7.833 -10.993     |10.13    |~                  |    ~     ~          
4218|HD 138622                                                             |Star                           |15 35 19.2521692200 -49 40 11.312827824|328.1441524321965 +05.0077923819219|  -5.646 -5.843     |7.33     |B2/3III/IV         |    ~     ~          
4219|CD-49 9775                                                            |Star                           |15 35 27.4929976776 -49 54 33.009082920|328.0214293664746 +04.8008291163951|  -7.053 -7.788     |10.96    |A0                 |    ~     ~          
4220|HD 138725                                                             |Star                           |15 35 53.4637508040 -49 58 25.993022268|328.0399310805627 +04.7075640689782|   0.086 -8.122     |8.85     |K3III              |    ~     ~          
