C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:10:40

dec< 0&rah >=19.0&rah< 19.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6795

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
104 |CD-43 13153                                                                                              |Star                                  |19 10 01.6271869392 -43 17 39.645855528|354.1251312909621 -21.4182152286475|   4.414 -6.062   |10.27    |~              |    ~     ~    |    1| 1703.868   pc  | -54.5795    +54.5795    |paral   |2020yCat.1350....0G
105 |HD 179138                                                                                                |Star                                  |19 13 12.3622773000 -40 44 28.930549128|356.9275334207765 -21.1952083967040|-24.057 -23.761   |7.30     |K2III          |    ~     ~    |    1|  163.457   pc  |  -0.5130     +0.5130    |paral   |2020yCat.1350....0G
106 |CD-40 13109                                                                                              |Star                                  |19 12 35.152 -40 45 02.91              |356.878607 -21.086562              |       -5.7 4.9   |10.93    |~              |    ~     ~    |    0|                |                         |        |                   
107 |HD 179118                                                                                                |Double or Multiple Star               |19 13 04.5779307 -40 47 02.573871      |356.8758298631 -21.1851576085      |   -6.84 -29.73   |9.38     |A5/7IV         |0.0067  0.0    |    0|                |                         |        |                   
108 |HD 178655                                                                                                |Star                                  |19 11 15.0041452368 -41 06 39.767496660|356.4274251775491 -20.9598368778129|   1.487 -1.842   |8.90     |G8IVCNIII      |    ~     ~    |    1|  565.899   pc  | -26.1317    +26.1317    |paral   |2020yCat.1350....0G
109 |HD 178791                                                                                                |Star                                  |19 11 49.1829920592 -41 21 37.115610516|356.2095486087312 -21.1394343461084|   13.802 1.332   |9.24     |M1             |    ~     ~    |    1|  955.201   pc  | -18.5219    +18.5219    |paral   |2020yCat.1350....0G
110 |HD 178984                                                                                                |Star                                  |19 12 36.0 -41 39 00                   |355.9624 -21.3679                  |            ~ ~   |9.8      |F5V            |    ~     ~    |    0|                |                         |        |                   
111 |HD 179207                                                                                                |Star                                  |19 13 30.0 -41 13 00                   |356.4609 -21.3951                  |            ~ ~   |10.2     |A0/1II/III     |    ~     ~    |    0|                |                         |        |                   
112 |HD 179360                                                                                                |Star                                  |19 14 08.9176596264 -41 03 28.403313984|356.6635715803658 -21.4625134011841|  2.492 -30.888   |9.84     |G8III          |    ~     ~    |    1|  589.449   pc  |  -4.9685     +4.9685    |paral   |2020yCat.1350....0G
113 |IDS 19078-4108 AB                                                                                        |Double or Multiple Star               |19 14 45.911 -40 57 56.05              |356.796374 -21.544880              |       5.7 -8.0   |8.8      |G8III          |    ~     ~    |    0|                |                         |        |                   
114 |HD 178730                                                                                                |Double or Multiple Star               |19 11 35.2020 -41 51 27.696            |355.6878359 -21.2520579            |    1.594 9.175   |10.08    |F0V            |    ~     ~    |    0|                |                         |        |                   
115 |HD 178629                                                                                                |Star                                  |19 11 14.3853739632 -42 28 15.355708140|355.0401648311679 -21.3791245855099|    7.088 3.130   |10.57    |F5IV/V         |    ~     ~    |    1|  694.203   pc  | -23.1321    +23.1321    |paral   |2020yCat.1350....0G
116 |HD 178709                                                                                                |Star                                  |19 11 35.1630125208 -42 25 15.545514792|355.1121952785049 -21.4247136177031|  6.856 -19.538   |9.80     |G6/K0(III)     |    ~     ~    |    1|  617.627   pc  |  -6.9045     +6.9045    |paral   |2020yCat.1350....0G
117 |HD 179008                                                                                                |Star                                  |19 12 44.1000724392 -42 04 52.646085156|355.5294800685564 -21.5237395038935| -8.240 -14.587   |10.49    |F3/5V          |    ~     ~    |    1|  367.525   pc  |  -2.3503     +2.3503    |paral   |2020yCat.1350....0G
118 |HD 179181                                                                                                |Star                                  |19 13 29.2595638080 -42 39 23.641076592|354.9843633567878 -21.8297779033256|  1.482 -13.995   |9.33     |A9V            |    ~     ~    |    1|  552.425   pc  |  -6.7443     +6.7443    |paral   |2020yCat.1350....0G
119 |HD 179208                                                                                                |Star                                  |19 13 32.5804309080 -42 33 38.897650620|355.0860752808950 -21.8108552994975|  5.311 -14.586   |8.84     |A2V            |    ~     ~    |    1|  362.148   pc  |  -3.6722     +3.6722    |paral   |2020yCat.1350....0G
120 |HD 179253                                                                                                |Be Star                               |19 13 44.1896629776 -42 24 48.154146912|355.2490828771773 -21.8007262276442|   3.354 -3.692   |9.78     |B7Ve           |    ~     ~    |    1| 1628.930   pc  | -72.1728    +72.1728    |paral   |2020yCat.1350....0G
121 |HD 179361                                                                                                |Star                                  |19 14 08.4504160488 -42 40 12.283311684|355.0090266612138 -21.9484276839649|    2.655 3.363   |9.60     |G8/K0III       |    ~     ~    |    1|  597.693   pc  |  -8.1450     +8.1450    |paral   |2020yCat.1350....0G
122 |HD 179413                                                                                                |High Proper Motion Star               |19 14 20.2265972496 -42 47 20.250207708|354.8981176734070 -22.0181009924130| -1.587 -58.718   |9.91     |K1/2III        |    ~     ~    |    1|  192.857   pc  |  -0.6695     +0.6695    |paral   |2020yCat.1350....0G
