C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:01:29

Vmag< 11&dec< 0&rah >=7.75&rah< 8.0
-----------------------------------

Number of objects : 10348

  #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
-----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
117  |TYC 4832-2304-1                                                                                                                             |Star                                  |07 46 18.2844 -01 16 03.599            |220.4272829 +11.5893478            |  -5.689 -4.046   |10.53    |~              |    ~     ~    
118  |TYC 4832-2349-1                                                                                                                             |Star                                  |07 47 17.8176366912 -00 05 15.054742248|219.4803879647153 +12.3615426989426|  3.015 -11.396   |10.8     |~              |    ~     ~    
119  |TYC 4832-2428-1                                                                                                                             |Star                                  |07 45 27.8857574544 -01 17 07.640697840|220.3426235984883 +11.3956740664939|  -11.073 3.078   |10.12    |~              |    ~     ~    
120  |TYC 4832-2443-1                                                                                                                             |Star                                  |07 52 07.2124146096 -01 17 18.866765976|221.1474356022109 +12.8612647799827|  -2.285 -0.792   |10.82    |~              |    ~     ~    
121  |TYC 4832-2472-1                                                                                                                             |Star                                  |07 48 09.5167582464 -01 17 13.962649884|220.6676447236434 +11.9889927782100|  -4.118 -0.410   |10.23    |~              |    ~     ~    
122  |TYC 4832-2487-1                                                                                                                             |Star                                  |07 45 51.2844311808 -01 16 40.787844348|220.3826325109037 +11.4852191295555|  6.261 -19.616   |10.06    |~              |    ~     ~    
123  |TYC 4836-61-1                                                                                                                               |Star                                  |07 46 42.3164278032 -02 01 13.315444392|221.1527832341150 +11.3229110168591|  -9.445 -4.692   |10.52    |~              |    ~     ~    
124  |TYC 4836-139-1                                                                                                                              |Star                                  |07 48 34.4228789232 -01 57 22.450557312|221.3203663540498 +11.7645925055728|  -8.599 -8.147   |10.60    |~              |    ~     ~    
125  |TYC 4836-956-1                                                                                                                              |Star                                  |07 45 51.5006110440 -02 29 51.099210852|221.4793370070212 +10.9108770311043|   -3.301 0.452   |10.76    |~              |    ~     ~    
126  |TYC 4836-1208-1                                                                                                                             |Star                                  |07 48 24.7279330920 -02 30 01.361489688|221.7900295073209 +11.4711939469712|   -8.367 0.510   |10.02    |~              |    ~     ~    
127  |TYC 4836-1399-1                                                                                                                             |Star                                  |07 50 21.0340430352 -02 25 35.907755628|221.9586249723532 +11.9322729972883|   -0.077 0.002   |10.42    |~              |    ~     ~    
128  |TYC 4836-1452-1                                                                                                                             |Star                                  |07 50 22.2959173584 -02 14 33.821388888|221.7957510490794 +12.0242853900794| -35.011 -9.788   |10.51    |~              |    ~     ~    
129  |TYC 4836-1519-1                                                                                                                             |Star                                  |07 52 20.6020543215 -02 13 02.599173636|222.0125654336874 +12.4696765168512|   -2.831 0.156   |10.13    |~              |    ~     ~    
130  |TYC 4836-1626-1                                                                                                                             |Star                                  |07 50 13.8302182944 -02 16 16.254248772|221.8042375808991 +11.9797544306053|  -1.216 -1.384   |9.95     |~              |    ~     ~    
131  |TYC 4836-1629-1                                                                                                                             |Star                                  |07 47 58.1917765872 -02 10 43.244797296|221.4475273233181 +11.5264121041239|   -3.957 1.327   |10.04    |~              |    ~     ~    
132  |TYC 4836-1644-1                                                                                                                             |Star                                  |07 45 59.3436317688 -02 24 53.446563540|221.4208812650055 +10.9787612985997|  -7.787 -4.425   |10.36    |~              |    ~     ~    
