C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:13:54

dec< 0&rah >=19.25&rah< 19.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6568

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
3996|CPD-63 4517                                                                                              |Star                                  |19 24 24.1965472464 -63 26 51.158296392|332.9112608168475 -27.7048316420197|  7.125 -24.955   |10.417   |~               |    ~     ~          |    1|  318.573   pc  |  -7.7450     +7.7450    |ST-L    |2020AJ....160...83S
3997|TYC 9079-652-1                                                                                           |Star                                  |19 24 33.5491937784 -65 23 55.878141156|330.7163891404343 -27.9013927163479| 14.059 -18.991   |9.70     |~               |    ~     ~          |    1|  979.114   pc  | -46.4600    +46.4600    |ST-L    |2020AJ....160...83S
3998|CD-65 2562                                                                                               |Star                                  |19 24 39.4716231528 -65 34 01.446887352|330.5276186074676 -27.9253856511396| -3.936 -18.991   |9.69     |~               |    ~     ~          |    1|  840.862   pc  | -35.0200    +35.0200    |ST-L    |2020AJ....160...83S
3999|TYC 9075-777-1                                                                                           |Star                                  |19 24 58.7378738712 -63 32 37.355965440|332.8103909508394 -27.7783364991725|   0.484 -3.302   |10.968   |~               |    ~     ~          |    1|  984.301   pc  | -54.0600    +54.0600    |ST-L    |2020AJ....160...83S
4000|TYC 9079-279-1                                                                                           |Star                                  |19 25 24.8716739352 -63 45 26.312681232|332.5752921408635 -27.8470498116709| 19.994 -41.285   |10.740   |~               |    ~     ~          |    1|  172.994   pc  |  -1.5920     +1.5920    |ST-L    |2020AJ....160...83S
4001|TYC 9092-336-1                                                                                           |Star                                  |19 27 24.3343255560 -64 50 23.157333024|331.3748564781574 -28.1551008392619|  1.654 -11.030   |10.615   |~               |    ~     ~          |    1| 1438.920   pc  |-112.1000   +112.1000    |ST-L    |2020AJ....160...83S
4002|TYC 9092-798-1                                                                                           |Star                                  |19 27 27.3250384248 -64 20 50.271832788|331.9320530875026 -28.1213933317982|  9.364 -11.316   |10.932   |~               |    ~     ~          |    1|  986.288   pc  | -47.7500    +47.7500    |ST-L    |2020AJ....160...83S
4003|TYC 9092-709-1                                                                                           |Star                                  |19 27 44.1493894176 -64 14 13.324819740|332.0594799109755 -28.1427225671621|    3.225 1.328   |9.84     |~               |    ~     ~          |    1| 1064.169   pc  | -17.4398    +17.4398    |paral   |2020yCat.1350....0G
4004|TYC 9092-573-1                                                                                           |Star                                  |19 27 58.1773192632 -64 24 40.263651612|331.8648825059541 -28.1819234167826|   6.886 -4.210   |10.789   |~               |    ~     ~          |    1|  956.215   pc  | -33.7900    +33.7900    |ST-L    |2020AJ....160...83S
4005|TYC 9096-700-1                                                                                           |Star                                  |19 28 38.6511710232 -65 45 58.251355416|330.3360946188292 -28.3493414311835| -0.354 -13.073   |10.517   |~               |    ~     ~          |    1|  789.333   pc  | -31.4800    +31.4800    |ST-L    |2020AJ....160...83S
4006|CD-64 1244                                                                                               |Star                                  |19 28 53.3830998072 -63 49 55.531244712|332.5290196193972 -28.2357789523784| -10.214 10.802   |10.38    |~               |    ~     ~          |    1|  287.307   pc  |  -1.7830     +1.7830    |paral   |2020yCat.1350....0G
4007|TYC 9088-6-1                                                                                             |Star                                  |19 29 29.3367784800 -63 12 44.889955452|333.2362389745451 -28.2512286822794|   3.283 -0.269   |10.336   |~               |    ~     ~          |    1|  666.601   pc  | -20.1200    +20.1200    |ST-L    |2020AJ....160...83S
4008|TYC 9092-535-1                                                                                           |Star                                  |19 29 36.4850814936 -64 00 05.192357184|332.3443545746361 -28.3278052898843|    5.060 0.403   |9.932    |~               |    ~     ~          |    1| 1367.490   pc  | -96.6800    +96.6800    |ST-L    |2020AJ....160...83S
4009|TYC 9092-171-1                                                                                           |Star                                  |19 29 57.1403672736 -65 15 31.117275900|330.9216907996812 -28.4524203232035|   3.202 -9.358   |10.635   |~               |    ~     ~          |    1| 1288.620   pc  | -86.1300    +86.1300    |ST-L    |2020AJ....160...83S
4010|NGC 6784B                          ESO-LV 104-0551                                                       |Galaxy in Pair of Galaxies            |19 26 38.7 -65 36 53                   |330.4917 -28.1337                  |            ~ ~   |     ~   |~               | 0.96  0.96          |    0|                |                         |        |                   
4011|CPD-64 3986                                                                                              |Star                                  |19 21 07.1461881984 -63 53 17.607332076|332.3736623803543 -27.3891899132770|   5.793 -2.963   |10.647   |~               |    ~     ~          |    1|  434.183   pc  | -11.2200    +11.2200    |ST-L    |2020AJ....160...83S
4012|TYC 9079-723-1                                                                                           |Spectroscopic Binary                  |19 21 08.8402232616 -63 50 58.502942916|332.4173017487777 -27.3880329918735|   6.085 -8.205   |10.673   |~               |    ~     ~          |    1|  855.570   pc  | -30.1600    +30.1600    |ST-L    |2020AJ....160...83S
4013|TYC 9096-764-1                                                                                           |Star                                  |19 29 02.1018463464 -65 41 28.466457972|330.4239763992729 -28.3846891724491|  4.003 -12.233   |10.359   |~               |    ~     ~          |    1|  729.268   pc  | -29.2700    +29.2700    |ST-L    |2020AJ....160...83S
4014|TYC 9075-45-1                                                                                            |High Proper Motion Star               |19 20 26.5696724688 -63 44 48.224530068|332.5225790664424 -27.2992534690421| 43.655 -22.337   |10.839   |~               |    ~     ~          |    1|  210.370   pc  |  -3.9610     +3.9610    |ST-L    |2020AJ....160...83S
