C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:09:51

Vmag< 11&dec >=0&rah >=5.0&rah< 5.25
------------------------------------

Number of objects : 5549

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------
5269|TYC 3345-2196-1                                                                                          |Star                           |05 11 29.4358982376 +45 37 09.756019524|162.3681771344602 +03.6094672635118|  1.356 -11.412    |10.15    |~                 |    ~     ~    
5270|TYC 3345-2291-1                                                                                          |Star                           |05 09 07.6429902816 +46 26 22.039065924|161.4624233304531 +03.7636522560482|    6.238 1.480    |10.66    |~                 |    ~     ~    
5271|TYC 3345-2786-1                                                                                          |Star                           |05 10 17.2220130096 +45 28 13.440869112|162.3640294380405 +03.3514295027056|  -2.520 -4.313    |10.55    |~                 |    ~     ~    
5272|TYC 3345-2821-1                                                                                          |Star                           |05 11 38.5626804288 +45 25 03.576239976|162.5472709706930 +03.5122628035598|   0.254 -1.369    |10.79    |~                 |    ~     ~    
5273|TYC 3345-2859-1                                                                                          |Star                           |05 11 31.8399716592 +45 16 53.214536100|162.6459646998700 +03.4161574521273|   1.813 -1.577    |10.44    |~                 |    ~     ~    
5274|TYC 3345-2877-1                                                                                          |Star                           |05 14 22.2576471768 +45 07 10.025827824|163.0710797153955 +03.7268953234454|  -0.633 -2.198    |10.77    |~                 |    ~     ~    
5275|TYC 3345-2925-1                                                                                          |Star                           |05 08 48.1540762224 +45 09 49.847941476|162.4559170187437 +02.9594371313040|   6.651 -5.232    |10.88    |~                 |    ~     ~    
5276|TYC 3345-2970-1                                                                                          |Star                           |05 11 57.5483754936 +45 06 49.304591676|162.8263326179657 +03.3784714345275|   2.604 -7.534    |10.86    |~                 |    ~     ~    
5277|TYC 3345-3151-1                                                                                          |Spectroscopic Binary           |05 07 53.8513780680 +45 18 39.585295296|162.2424877966000 +02.9193681126745|   -1.022 0.944    |10.65    |~                 |    ~     ~    
5278|TYC 3345-3155-1                                                                                          |Star                           |05 06 59.6253948792 +45 04 06.106492812|162.3415680696373 +02.6465446055843|   5.198 -2.133    |10.95    |~                 |    ~     ~    
5279|TYC 3345-3239-1                                                                                          |Star                           |05 07 42.2018474424 +45 44 56.121755136|161.8705708525488 +03.1538937367440|   0.560 -9.736    |10.08    |~                 |    ~     ~    
