C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:07:53

Vmag< 11&dec >=0&rah >=4.75&rah< 5.0
------------------------------------

Number of objects : 4641

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
427 |LS V +54 14                                                           |Star                           |04 52 58.9560833352 +54 07 40.957032144|153.7722000220418 +06.4185646155579|    0.247 0.867  |10.99    |B0III             |    ~     ~    
428 |HD 29894                                                              |Star                           |04 45 26.8596038976 +53 38 37.396497408|153.4357015480692 +05.2544860063518|   0.212 -6.967  |9.05     |A                 |    ~     ~    
429 |HD 30136                                                              |Double or Multiple Star        |04 47 49.5436026414 +53 18 04.029987946|153.9278126378105 +05.3041667798834| 13.030 -86.711  |8.67     |F2                |    ~     ~    
430 |HD 233013                                                             |Star                           |04 49 23.8208253312 +54 03 31.960880856|153.4917931605853 +05.9675286756355| -0.615 -20.758  |10.49    |F8                |    ~     ~    
431 |HD 30326                                                              |Star                           |04 49 29.7095233296 +53 52 33.232087308|153.6428602684934 +05.8621191780164|   4.076 -5.976  |8.32     |K5                |    ~     ~    
432 |HD 30339                                                              |Spectroscopic Binary           |04 49 33.3469509960 +53 21 56.555449056|154.0438396454513 +05.5440369966797| 61.717 -63.007  |8.21     |F8                |    ~     ~    
433 |HD 233015                                                             |Star                           |04 49 47.3454998760 +54 03 33.743181384|153.5282240645726 +06.0122218491533|  -7.675 -1.634  |10.54    |A3                |    ~     ~    
434 |HD 233020                                                             |Star                           |04 51 03.0707965656 +53 44 51.673525404|153.8890507903893 +05.9581679481853|   9.887 -4.133  |9.24     |F0                |    ~     ~    
435 |BD+53 824                                                             |Star                           |04 54 31.7878843416 +53 35 19.543085628|154.3390558449971 +06.2590159334291|  3.449 -21.634  |9.36     |K0                |    ~     ~    
436 |HD 30167                                                              |Star                           |04 48 01.7164244568 +53 07 19.245356328|154.0853506986998 +05.2125585186496|   -9.640 2.290  |7.56     |A3                |    ~     ~    
437 |BD+52 880B                                                            |Star                           |04 48 01.4746585992 +53 06 58.399182180|154.0894223894821 +05.2083806410957|   -7.604 1.721  |9.10     |A3                |    ~     ~    
438 |HD 233010                                                             |Star                           |04 48 06.0273654336 +52 36 22.677564420|154.4894807465742 +04.8900321747170|  9.323 -16.975  |9.00     |A3                |    ~     ~    
439 |HD 30451                                                              |Star                           |04 50 45.6857929848 +53 14 43.743123384|154.2521285089436 +05.6066318725384|  6.040 -19.544  |9.34     |A0                |    ~     ~    
440 |HD 30503                                                              |Star                           |04 51 07.8383355936 +52 23 54.812953608|154.9453583406351 +05.1126468608419|  4.305 -18.672  |8.830    |A0                |    ~     ~    
441 |HD 233022                                                             |Star                           |04 51 15.3624062448 +52 39 26.416376388|154.7565137198386 +05.2914235431066| 33.735 -19.742  |9.04     |K0                |    ~     ~    
442 |HD 233025                                                             |Star                           |04 52 04.0134046848 +53 06 06.374719368|154.4883255766395 +05.6672123681897|  -7.063 -9.574  |9.61     |A7                |    ~     ~    
443 |HD 30631                                                              |High Proper Motion Star        |04 52 13.0002919776 +52 45 28.212362820|154.7707163170856 +05.4676974405862|  9.188 -66.245  |8.48     |F5                |    ~     ~    
444 |HD 233032                                                             |Star                           |04 54 24.2142526080 +52 25 57.655977348|155.2344692774296 +05.5217430877802|  1.465 -12.484  |8.85     |M0                |    ~     ~    
445 |HD 233034                                                             |Star                           |04 55 05.1632871216 +52 41 03.603870492|155.1021178587607 +05.7599464147735|-13.449 -27.058  |9.16     |F8                |    ~     ~    
446 |HD 31030                                                              |Pulsating Variable             |04 55 16.6810665528 +53 02 33.988155972|154.8384718937158 +06.0059948761624|   -3.085 0.212  |8.83     |A0                |    ~     ~    
447 |HD 233035                                                             |Star                           |04 55 11.7263469264 +52 27 48.938096484|155.2859441291986 +05.6352726874328|  2.903 -18.157  |8.72     |K2                |    ~     ~    
448 |BD+52 903                                                             |Star                           |04 58 24.4212039312 +52 49 56.720221320|155.2980815606163 +06.2461503104834|   -8.365 4.986  |10.05    |K2                |    ~     ~    
449 |HD 31510                                                              |High Proper Motion Star        |04 59 17.6266013376 +52 29 33.989439480|155.6507896461503 +06.1437578789613| 12.846 -70.518  |7.89     |K0                |    ~     ~    
450 |HD 233019                                                             |Star                           |04 50 26.0151342936 +52 09 11.147707188|155.0676996707717 +04.8743893239394|  8.907 -16.862  |8.37     |K2                |    ~     ~    
451 |HD 233021                                                             |Star                           |04 51 06.0111930264 +52 14 12.178758228|155.0680115003442 +05.0064019975578|  3.619 -16.562  |8.48     |M0                |    ~     ~    
452 |IRAS 04445+5349                                                       |Star                           |04 48 31.5854479344 +53 54 57.868258032|153.5202339889076 +05.7778756325900|  -0.568 -1.381  |10.14    |~                 |    ~     ~    
453 |IRAS 04488+5218                                                       |Star                           |04 52 47.8796379840 +52 23 05.462341080|155.1174596622844 +05.3011196990266|  1.073 -12.138  |9.82     |~                 |    ~     ~    
454 |HD 30752                                                              |Star                           |04 53 09.7819444944 +52 50 28.157727516|154.7961924539877 +05.6312837083155|-13.907 -12.504  |6.400    |A2V               |    ~     ~    
455 |HD 31134                                                              |Star                           |04 56 07.0723806720 +52 52 11.054427096|155.0538205585996 +05.9974645482450|  -3.418 14.954  |5.740    |A2Vs              |    ~     ~    
456 |HD 29968                                                              |Star                           |04 46 25.0420858800 +54 48 27.380322972|152.6345126868841 +06.1142030109102|  5.128 -17.163  |8.43     |F2                |    ~     ~    
