C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:07:53

Vmag< 11&dec >=0&rah >=4.75&rah< 5.0
------------------------------------

Number of objects : 4641

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
89  |TYC 3351-339-1                                                        |Star                           |04 48 22.0801110768 +50 13 26.234652324|156.3471939839604 +03.3918984330727|  -0.204 -3.225  |10.66    |~                 |    ~     ~    
90  |TYC 3351-391-1                                                        |Star                           |04 45 47.9521521144 +50 11 55.837308696|156.1004937408543 +03.0619496787079|   3.587 -4.508  |10.52    |~                 |    ~     ~    
91  |TYC 3351-523-1                                                        |Star                           |04 48 19.0648527696 +50 22 31.258827552|156.2258403977303 +03.4830647003689|   5.852 -8.334  |10.93    |~                 |    ~     ~    
92  |GSC 03351-00623                                                       |Double or Multiple Star        |04 45 24.0620615592 +50 28 15.853788444|155.8518775581978 +03.1904730475583| -0.519 -14.177  |10.044   |~                 |    ~     ~    
93  |TYC 3351-673-1                                                        |Star                           |04 47 37.4678431080 +50 01 32.697511104|156.4222735776861 +03.1731087027781|   -9.218 7.851  |10.40    |~                 |    ~     ~    
94  |TYC 3351-692-1                                                        |Star                           |04 48 05.1495384432 +49 36 15.982819308|156.7929697681934 +02.9585901598175|  2.528 -15.214  |10.90    |~                 |    ~     ~    
95  |TYC 3351-722-1                                                        |Star                           |04 46 21.7384057872 +49 31 50.340074808|156.6686348581692 +02.6976034441943|-11.962 -11.278  |10.37    |~                 |    ~     ~    
96  |TYC 3351-731-1                                                        |Star                           |04 48 25.4178982272 +50 17 53.284899264|156.2959838913572 +03.4463839138039|   0.215 -3.094  |10.86    |~                 |    ~     ~    
97  |TYC 3351-779-1                                                        |Star                           |04 47 40.8513845208 +50 24 23.189390964|156.1365502083100 +03.4253796025354| 17.705 -27.047  |9.99     |~                 |    ~     ~    
98  |TYC 3351-807-1                                                        |Star                           |04 50 45.9128649576 +49 50 13.698396024|156.8917584493213 +03.4402151428354|   3.136 -4.337  |10.24    |~                 |    ~     ~    
99  |TYC 3351-863-1                                                        |Star                           |04 46 55.0711083120 +49 47 57.808469796|156.5218185570542 +02.9400905339648|  5.894 -23.703  |9.88     |~                 |    ~     ~    
100 |TYC 3351-947-1                                                        |Star                           |04 46 25.2906215520 +50 14 50.171953200|156.1282040298773 +03.1691287927368|  -3.683 -0.740  |10.90    |~                 |    ~     ~    
101 |TYC 3351-961-1                                                        |Star                           |04 49 54.8832567264 +49 46 07.175519292|156.8568530769128 +03.2908581884429|  1.992 -29.862  |10.03    |~                 |    ~     ~    
102 |TYC 3351-1034-1                                                       |Star                           |04 48 24.7214686056 +49 28 05.421520236|156.9315157177709 +02.9114214762409| -9.928 -25.621  |9.87     |~                 |    ~     ~    
103 |TYC 3351-1186-1                                                       |Star                           |04 48 55.0646581320 +49 39 24.697706760|156.8394658642677 +03.0954810740145|  6.599 -22.553  |10.67    |~                 |    ~     ~    
104 |TYC 3351-1462-1                                                       |Star                           |04 47 27.7306410000 +49 14 59.088727536|156.9989895380125 +02.6524072944418|   2.681 -6.746  |10.43    |~                 |    ~     ~    
105 |TYC 3355-524-1                                                        |Star                           |04 45 03.6930235584 +51 50 17.544923880|154.7761881468528 +04.0386521059586|  5.532 -11.914  |9.55     |~                 |    ~     ~    
106 |TYC 3355-629-1                                                        |Star                           |04 46 26.6807219256 +51 19 41.184647436|155.3050991653447 +03.8714698996661| 12.848 -15.855  |10.75    |~                 |    ~     ~    
107 |TYC 3355-790-1                                                        |Star                           |04 47 43.6882776432 +50 39 33.198333552|155.9477008345606 +03.5939735077983|   1.391 -2.435  |10.70    |~                 |    ~     ~    
108 |TYC 3355-808-1                                                        |Star                           |04 46 07.6977369576 +51 00 55.304866944|155.5118091912129 +03.6312151842100|  -2.551 -5.388  |10.49    |~                 |    ~     ~    
109 |TYC 3355-822-1                                                        |Star                           |04 46 34.7441923824 +50 38 31.449656760|155.8430270326369 +03.4437931784896|   -9.729 4.233  |9.87     |~                 |    ~     ~    
110 |TYC 3355-907-1                                                        |Star                           |04 45 28.8725666232 +50 43 49.455544764|155.6627174112774 +03.3686624293668|  -3.742 -0.858  |10.65    |~                 |    ~     ~    
111 |HD 29951                                                              |Star                           |04 45 27.7464885936 +47 28 35.050603512|158.1345073434251 +01.2498400211779|  23.628 -3.215  |7.27     |G5                |    ~     ~    
112 |HD 29956                                                              |Star                           |04 45 40.8236040048 +47 41 55.628169756|157.9895229577199 +01.4224539853272|-11.017 -13.200  |8.93     |F5                |    ~     ~    
113 |LS V +47 17                                                           |Star                           |04 46 11.0755574496 +47 17 31.142529672|158.3541538210916 +01.2228147051317|  -0.334 -0.481  |10.33    |OB-               |    ~     ~    
114 |BD+47 1038                                                            |Star                           |04 46 21.9760479840 +47 32 19.387164192|158.1863582958167 +01.4063413844624|   4.313 -5.525  |9.13     |K0                |    ~     ~    
115 |HD 29997                                                              |Star                           |04 46 00.2537494632 +46 59 18.952737900|158.5649392441965 +01.0024284217868|   2.376 -4.683  |8.88     |B8                |    ~     ~    
116 |HD 30075                                                              |Star                           |04 46 40.0231190448 +47 04 03.338570712|158.5781478877494 +01.1396290648882|  8.512 -10.229  |8.13     |G5                |    ~     ~    
117 |BD+46 916                                                             |Star                           |04 47 43.6163289576 +46 43 04.568540592|158.9619872989973 +01.0514872761381|  -1.807 -3.030  |10.15    |M0                |    ~     ~    
118 |BD+47 1029                                                            |Star                           |04 45 01.5573993264 +47 39 59.043775248|157.9423545906717 +01.3177749219824|   0.006 -1.948  |9.99     |~                 |    ~     ~    
119 |BD+48 1144                                                            |Star                           |04 46 13.2059366208 +48 46 45.900962544|157.2259515911406 +02.1927696334426|   5.150 -5.928  |9.04     |K0                |    ~     ~    
120 |HD 30280                                                              |Emission-line Star             |04 48 34.4425968144 +48 32 39.789009384|157.6567816965475 +02.3376753659469|  4.955 -12.026  |8.97     |B9                |    ~     ~    
121 |HD 30340                                                              |Star                           |04 49 03.2654786040 +48 59 40.891627464|157.3622582708793 +02.6876236697303| 11.166 -23.561  |9.17     |A0                |    ~     ~    
122 |BD+48 1155                                                            |Double or Multiple Star        |04 49 40.4504 +48 23 32.648            |157.8905675 +02.3799750            |    -11.3 -15.1  |9.77     |F8                |    ~     ~    
123 |HD 30557                                                              |High Proper Motion Star        |04 51 09.3214674576 +48 44 26.394386136|157.7789344060639 +02.7909442769211|-36.593 -32.539  |5.643    |G9III             |    ~     ~    
124 |BD+48 1164                                                            |Star                           |04 52 10.1816239296 +48 47 50.320065588|157.8414766995556 +02.9559945339550|   0.389 -0.465  |10.90    |OB-               |    ~     ~    
125 |BD+48 1166                                                            |High Proper Motion Star        |04 52 39.7347993168 +48 51 36.667846152|157.8441908029309 +03.0585474721190| 44.768 -63.363  |9.02     |K0                |    ~     ~    
126 |BD+48 1170                                                            |Star                           |04 53 15.6219484344 +48 26 39.323478336|158.2293993554382 +02.8720896764505|  13.856 -0.072  |9.45     |K0                |    ~     ~    
127 |BD+47 1041                                                            |Star                           |04 47 34.3760309592 +48 06 44.952677100|157.8799652578921 +01.9321100245481|  5.295 -11.595  |9.60     |F2                |    ~     ~    
128 |HD 30261                                                              |Star                           |04 48 30.5815017624 +48 14 26.840781168|157.8825311466914 +02.1342056971130|  7.692 -12.061  |9.28     |~                 |    ~     ~    
129 |BD+48 1171                                                            |Variable Star                  |04 53 20.6572478352 +48 37 24.665674476|158.0990089070424 +02.9960681267264|  -2.859 -1.162  |9.68     |M3                |    ~     ~    
130 |HD 30033                                                              |Star                           |04 46 22.2856744008 +47 43 58.259402976|158.0391453259547 +01.5329521085961|  -0.823 -9.822  |9.52     |A5                |    ~     ~    
131 |HD 30089                                                              |Star                           |04 46 50.2052439288 +47 46 14.128209984|158.0611118647316 +01.6169747808875|  -4.715 -2.157  |9.52     |A2                |    ~     ~    
132 |BD+47 1042                                                            |Double or Multiple Star        |04 47 39.003 +47 44 14.03              |158.175001 +01.699676              |     -2.0 -38.0  |9.2      |G0                |    ~     ~    
133 |BD+47 1043                                                            |Star                           |04 47 41.8668850272 +47 32 20.695530948|158.3315726656240 +01.5778857735966| 25.761 -22.875  |10.36    |F5                |    ~     ~    
134 |BD+47 1044                                                            |Star                           |04 47 50.4656711736 +47 33 51.914796768|158.3278240012280 +01.6127102711071| 10.403 -11.941  |9.09     |K5                |    ~     ~    
135 |HD 30401                                                              |Star                           |04 49 41.9918447088 +47 30 41.588700984|158.5701415200689 +01.8189780557378|  -0.167 -3.884  |9.14     |A3                |    ~     ~    
136 |HD 30435                                                              |High Proper Motion Star        |04 50 07.1247213216 +47 51 52.060986828|158.3440282029165 +02.0990614883369| 36.328 -42.811  |8.79     |F2                |    ~     ~    
137 |BD+47 1055                                                            |Star                           |04 51 16.3856449560 +47 16 59.549725884|158.9160794556725 +01.8779042210459| 19.825 -18.013  |9.16     |K0                |    ~     ~    
138 |HD 30648                                                              |Star                           |04 51 52.1698944864 +47 23 41.074557468|158.8943118508287 +02.0268193597405|   0.842 -7.455  |9.31     |A                 |    ~     ~    
139 |BD+47 1057                                                            |Star                           |04 51 59.9454493776 +47 18 56.027183328|158.9694456201087 +01.9934572602722|  5.796 -10.907  |9.81     |A2                |    ~     ~    
140 |HD 30699                                                              |Star                           |04 52 16.7378771328 +47 16 53.252736600|159.0259556680001 +02.0084639057773| 18.627 -22.986  |9.11     |F5                |    ~     ~    
